Historical Mutual Fund NAV of KOTAK GOLD ETF,
scheme:- KOTAK GOLD ETF,
Start Date:- 27-07-2007,
End Date:- 24-11-2020,
NAV Date,NAV (Rs)
28-10-2011,265.8545
25-10-2011,258.2628
24-10-2011,258.5619
21-10-2011,255.2189
20-10-2011,254.3567
19-10-2011,255.0209
18-10-2011,255.8817
17-10-2011,259.3349
14-10-2011,258.2959
13-10-2011,257.614
12-10-2011,260.8934
11-10-2011,256.0108
10-10-2011,256.5166
07-10-2011,254.8901
05-10-2011,247.408
04-10-2011,258.5793
03-10-2011,257.7795
29-09-2011,249.1609
28-09-2011,254.4166
27-09-2011,258.2313
26-09-2011,251.8969
23-09-2011,269.9463
22-09-2011,270.7509
21-09-2011,272.306
20-09-2011,271.4512
19-09-2011,272.7712
16-09-2011,265.2038
15-09-2011,271.4608
14-09-2011,274.6693
13-09-2011,267.2819
12-09-2011,271.9957
09-09-2011,273.8998
08-09-2011,265.1749
07-09-2011,266.7269
06-09-2011,274.0586
05-09-2011,273.7369
02-09-2011,267.4562
30-08-2011,259.1763
29-08-2011,257.7876
26-08-2011,258.8208
25-08-2011,249.1408
24-08-2011,266.216
23-08-2011,270.9393
22-08-2011,271.2186
18-08-2011,257.476
17-08-2011,255.7847
16-08-2011,253.2905
12-08-2011,250.6215
11-08-2011,254.4304
10-08-2011,249.5416
09-08-2011,251.6655
08-08-2011,242.0757
05-08-2011,235.0131
04-08-2011,232.9121
03-08-2011,233.1763
02-08-2011,226.4198
01-08-2011,224.0758
29-07-2011,224.6652
28-07-2011,225.0402
27-07-2011,224.6295
26-07-2011,224.8303
25-07-2011,226.6558
22-07-2011,222.266
21-07-2011,224.279
20-07-2011,222.175
19-07-2011,225.2666
18-07-2011,224.6904
15-07-2011,221.7335
14-07-2011,223.6862
13-07-2011,221.0788
12-07-2011,217.8202
11-07-2011,216.1622
08-07-2011,213.5545
07-07-2011,214.0276
06-07-2011,212.427
05-07-2011,210.618
04-07-2011,209.956
30-06-2011,212.9684
29-06-2011,213.7282
28-06-2011,213.7595
27-06-2011,213.7898
24-06-2011,215.8573
23-06-2011,218.6836
22-06-2011,218.789
